0 0 0 	0 0 0.0 
0 1 19 	0.3333333333333333 1.3333333333333333 7.547999999999999 
0 1 20 	0.3333333333333333 1.3333333333333333 8.16 
0 1 21 	0.6666666666666666 1.6666666666666665 8.363999999999999 
0 1 22 	0.6666666666666666 1.6666666666666665 8.975999999999999 
0 1 23 	0 1 9.18 
0 1 24 	0 1 9.792 
0 1 25 	0.3333333333333333 1.3333333333333333 9.996 
0 1 26 	0.3333333333333333 1.3333333333333333 10.608 
0 1 27 	0.6666666666666666 1.6666666666666665 10.812 
0 1 28 	0.6666666666666666 1.6666666666666665 11.424 
0 1 29 	0 1 11.628 
0 2 0 	0 2 0.0 
0 2 1 	0.3333333333333333 2.3333333333333335 0.204 
0 2 2 	0.3333333333333333 2.3333333333333335 0.816 
0 2 3 	0.6666666666666666 2.6666666666666665 1.02 
0 2 4 	0.6666666666666666 2.6666666666666665 1.632 
0 2 5 	0 2 1.8359999999999999 
0 2 6 	0 2 2.448 
0 2 7 	0.3333333333333333 2.3333333333333335 2.652 
0 2 8 	0.3333333333333333 2.3333333333333335 3.264 
0 2 9 	0.6666666666666666 2.6666666666666665 3.468 
0 2 10 	0.6666666666666666 2.6666666666666665 4.08 
0 2 11 	0 2 4.284 
0 2 12 	0 2 4.896 
0 2 13 	0.3333333333333333 2.3333333333333335 5.1 
0 2 14 	0.3333333333333333 2.3333333333333335 5.712 
0 2 15 	0.6666666666666666 2.6666666666666665 5.916 
0 2 16 	0.6666666666666666 2.6666666666666665 6.528 
0 2 17 	0 2 6.731999999999999 
0 2 18 	0 2 7.343999999999999 
0 2 19 	0.3333333333333333 2.3333333333333335 7.547999999999999 
0 2 20 	0.3333333333333333 2.3333333333333335 8.16 
0 2 21 	0.6666666666666666 2.6666666666666665 8.363999999999999 
0 2 22 	0.6666666666666666 2.6666666666666665 8.975999999999999 
0 2 23 	0 2 9.18 
0 2 24 	0 2 9.792 
0 2 25 	0.3333333333333333 2.3333333333333335 9.996 
0 2 26 	0.3333333333333333 2.3333333333333335 10.608 
0 2 27 	0.6666666666666666 2.6666666666666665 10.812 
0 2 28 	0.6666666666666666 2.6666666666666665 11.424 
0 2 29 	0 2 11.628 
0 3 0 	0 3 0.0 
0 3 1 	0.3333333333333333 3.3333333333333335 0.204 
0 3 2 	0.3333333333333333 3.3333333333333335 0.816 
0 3 3 	0.6666666666666666 3.6666666666666665 1.02 
0 3 4 	0.6666666666666666 3.6666666666666665 1.632 
0 3 5 	0 3 1.8359999999999999 
0 3 6 	0 3 2.448 
0 3 7 	0.3333333333333333 3.3333333333333335 2.652 
0 3 8 	0.3333333333333333 3.3333333333333335 3.264 
0 3 9 	0.6666666666666666 3.6666666666666665 3.468 
0 3 10 	0.6666666666666666 3.6666666666666665 4.08 
0 3 11 	0 3 4.284 
0 3 12 	0 3 4.896 
0 3 13 	0.3333333333333333 3.3333333333333335 5.1 
0 3 14 	0.3333333333333333 3.3333333333333335 5.712 
0 3 15 	0.6666666666666666 3.6666666666666665 5.916 
0 3 16 	0.6666666666666666 3.6666666666666665 6.528 
0 3 17 	0 3 6.731999999999999 
0 3 18 	0 3 7.343999999999999 
0 3 19 	0.3333333333333333 3.3333333333333335 7.547999999999999 
0 3 20 	0.3333333333333333 3.3333333333333335 8.16 
0 3 21 	0.6666666666666666 3.6666666666666665 8.363999999999999 
0 3 22 	0.6666666666666666 3.6666666666666665 8.975999999999999 
0 3 23 	0 3 9.18 
0 3 24 	0 3 9.792 
0 3 25 	0.3333333333333333 3.3333333333333335 9.996 
0 3 26 	0.3333333333333333 3.3333333333333335 10.608 
0 3 27 	0.6666666666666666 3.6666666666666665 10.812 
0 3 28 	0.6666666666666666 3.6666666666666665 11.424 
0 3 29 	0 3 11.628 
0 4 0 	0 4 0.0 
0 4 1 	0.3333333333333333 4.333333333333333 0.204 
0 4 2 	0.3333333333333333 4.333333333333333 0.816 
0 4 3 	0.6666666666666666 4.666666666666667 1.02 
0 4 4 	0.6666666666666666 4.666666666666667 1.632 
0 4 5 	0 4 1.8359999999999999 
0 4 6 	0 4 2.448 
0 4 7 	0.3333333333333333 4.333333333333333 2.652 
0 4 8 	0.3333333333333333 4.333333333333333 3.264 
0 4 9 	0.6666666666666666 4.666666666666667 3.468 
0 4 10 	0.6666666666666666 4.666666666666667 4.08 
0 4 11 	0 4 4.284 
0 4 12 	0 4 4.896 
0 4 13 	0.3333333333333333 4.333333333333333 5.1 
0 4 14 	0.3333333333333333 4.333333333333333 5.712 
0 4 15 	0.6666666666666666 4.666666666666667 5.916 
0 4 16 	0.6666666666666666 4.666666666666667 6.528 
0 4 17 	0 4 6.731999999999999 
0 4 18 	0 4 7.343999999999999 
0 4 19 	0.3333333333333333 4.333333333333333 7.547999999999999 
0 4 20 	0.3333333333333333 4.333333333333333 8.16 
0 4 21 	0.6666666666666666 4.666666666666667 8.363999999999999 
0 4 22 	0.6666666666666666 4.666666666666667 8.975999999999999 
0 4 23 	0 4 9.18 
0 4 24 	0 4 9.792 
0 4 25 	0.3333333333333333 4.333333333333333 9.996 
0 4 26 	0.3333333333333333 4.333333333333333 10.608 
0 4 27 	0.6666666666666666 4.666666666666667 10.812 
0 4 28 	0.6666666666666666 4.666666666666667 11.424 
0 4 29 	0 4 11.628 
1 0 0 	1 0 0.0 
1 0 1 	1.3333333333333333 0.3333333333333333 0.204 
1 0 2 	1.3333333333333333 0.3333333333333333 0.816 
1 0 3 	1.6666666666666665 0.6666666666666666 1.02 
1 0 4 	1.6666666666666665 0.6666666666666666 1.632 
1 0 5 	1 0 1.8359999999999999 
1 0 6 	1 0 2.448 
1 0 7 	1.3333333333333333 0.3333333333333333 2.652 
1 0 8 	1.3333333333333333 0.3333333333333333 3.264 
1 0 9 	1.6666666666666665 0.6666666666666666 3.468 
1 0 10 	1.6666666666666665 0.6666666666666666 4.08 
1 0 11 	1 0 4.284 
1 0 12 	1 0 4.896 
1 0 13 	1.3333333333333333 0.3333333333333333 5.1 
1 0 14 	1.3333333333333333 0.3333333333333333 5.712 
1 0 15 	1.6666666666666665 0.6666666666666666 5.916 
1 0 16 	1.6666666666666665 0.6666666666666666 6.528 
1 0 17 	1 0 6.731999999999999 
1 0 18 	1 0 7.343999999999999 
1 0 19 	1.3333333333333333 0.3333333333333333 7.547999999999999 
1 0 20 	1.3333333333333333 0.3333333333333333 8.16 
1 0 21 	1.6666666666666665 0.6666666666666666 8.363999999999999 
1 0 22 	1.6666666666666665 0.6666666666666666 8.975999999999999 
1 0 23 	1 0 9.18 
1 0 24 	1 0 9.792 
1 0 25 	1.3333333333333333 0.3333333333333333 9.996 
1 0 26 	1.3333333333333333 0.3333333333333333 10.608 
1 0 27 	1.6666666666666665 0.6666666666666666 10.812 
1 0 28 	1.6666666666666665 0.6666666666666666 11.424 
1 0 29 	1 0 11.628 
1 1 0 	1 1 0.0 
1 1 1 	1.3333333333333333 1.3333333333333333 0.204 
1 1 2 	1.3333333333333333 1.3333333333333333 0.816 
1 1 3 	1.6666666666666665 1.6666666666666665 1.02 
1 1 4 	1.6666666666666665 1.6666666666666665 1.632 
1 1 5 	1 1 1.8359999999999999 
1 1 6 	1 1 2.448 
1 1 7 	1.3333333333333333 1.3333333333333333 2.652 
1 1 8 	1.3333333333333333 1.3333333333333333 3.264 
1 1 9 	1.6666666666666665 1.6666666666666665 3.468 
1 1 10 	1.6666666666666665 1.6666666666666665 4.08 
1 1 11 	1 1 4.284 
1 1 12 	1 1 4.896 
1 1 13 	1.3333333333333333 1.3333333333333333 5.1 
1 1 14 	1.3333333333333333 1.3333333333333333 5.712 
1 1 15 	1.6666666666666665 1.6666666666666665 5.916 
1 1 16 	1.6666666666666665 1.6666666666666665 6.528 
1 1 17 	1 1 6.731999999999999 
1 1 18 	1 1 7.343999999999999 
1 1 19 	1.3333333333333333 1.3333333333333333 7.547999999999999 
1 1 20 	1.3333333333333333 1.3333333333333333 8.16 
1 1 21 	1.6666666666666665 1.6666666666666665 8.363999999999999 
1 1 22 	1.6666666666666665 1.6666666666666665 8.975999999999999 
1 1 23 	1 1 9.18 
1 1 24 	1 1 9.792 
1 1 25 	1.3333333333333333 1.3333333333333333 9.996 
1 1 26 	1.3333333333333333 1.3333333333333333 10.608 
1 1 27 	1.6666666666666665 1.6666666666666665 10.812 
1 1 28 	1.6666666666666665 1.6666666666666665 11.424 
1 1 29 	1 1 11.628 
1 2 0 	1 2 0.0 
1 2 1 	1.3333333333333333 2.3333333333333335 0.204 
1 2 2 	1.3333333333333333 2.3333333333333335 0.816 
1 2 3 	1.6666666666666665 2.6666666666666665 1.02 
1 2 4 	1.6666666666666665 2.6666666666666665 1.632 
1 2 5 	1 2 1.8359999999999999 
1 2 6 	1 2 2.448 
1 2 7 	1.3333333333333333 2.3333333333333335 2.652 
1 2 8 	1.3333333333333333 2.3333333333333335 3.264 
1 2 9 	1.6666666666666665 2.6666666666666665 3.468 
1 2 10 	1.6666666666666665 2.6666666666666665 4.08 
1 2 11 	1 2 4.284 
1 2 12 	1 2 4.896 
1 2 13 	1.3333333333333333 2.3333333333333335 5.1 
1 2 14 	1.3333333333333333 2.3333333333333335 5.712 
1 2 15 	1.6666666666666665 2.6666666666666665 5.916 
1 2 16 	1.6666666666666665 2.6666666666666665 6.528 
1 2 17 	1 2 6.731999999999999 
1 2 18 	1 2 7.343999999999999 
1 2 19 	1.3333333333333333 2.3333333333333335 7.547999999999999 
1 2 20 	1.3333333333333333 2.3333333333333335 8.16 
1 2 21 	1.6666666666666665 2.6666666666666665 8.363999999999999 
1 2 22 	1.6666666666666665 2.6666666666666665 8.975999999999999 
1 2 23 	1 2 9.18 
1 2 24 	1 2 9.792 
1 2 25 	1.3333333333333333 2.3333333333333335 9.996 
1 2 26 	1.3333333333333333 2.3333333333333335 10.608 
1 2 27 	1.6666666666666665 2.6666666666666665 10.812 
1 2 28 	1.6666666666666665 2.6666666666666665 11.424 
1 2 29 	1 2 11.628 
1 3 0 	1 3 0.0 
1 3 1 	1.3333333333333333 3.3333333333333335 0.204 
1 3 2 	1.3333333333333333 3.3333333333333335 0.816 
1 3 3 	1.6666666666666665 3.6666666666666665 1.02 
1 3 4 	1.6666666666666665 3.6666666666666665 1.632 
1 3 5 	1 3 1.8359999999999999 
1 3 6 	1 3 2.448 
1 3 7 	1.3333333333333333 3.3333333333333335 2.652 
1 3 8 	1.3333333333333333 3.3333333333333335 3.264 
1 3 9 	1.6666666666666665 3.6666666666666665 3.468 
1 3 10 	1.6666666666666665 3.6666666666666665 4.08 
1 3 11 	1 3 4.284 
1 3 12 	1 3 4.896 
1 3 13 	1.3333333333333333 3.3333333333333335 5.1 
1 3 14 	1.3333333333333333 3.3333333333333335 5.712 
1 3 15 	1.6666666666666665 3.6666666666666665 5.916 
1 3 16 	1.6666666666666665 3.6666666666666665 6.528 
1 3 17 	1 3 6.731999999999999 
1 3 18 	1 3 7.343999999999999 
1 3 19 	1.3333333333333333 3.3333333333333335 7.547999999999999 
1 3 20 	1.3333333333333333 3.3333333333333335 8.16 
1 3 21 	1.6666666666666665 3.6666666666666665 8.363999999999999 
1 3 22 	1.6666666666666665 3.6666666666666665 8.975999999999999 
1 3 23 	1 3 9.18 
1 3 24 	1 3 9.792 
1 3 25 	1.3333333333333333 3.3333333333333335 9.996 
1 3 26 	1.3333333333333333 3.3333333333333335 10.608 
1 3 27 	1.6666666666666665 3.6666666666666665 10.812 
1 3 28 	1.6666666666666665 3.6666666666666665 11.424 
1 3 29 	1 3 11.628 
1 4 0 	1 4 0.0 
1 4 1 	1.3333333333333333 4.333333333333333 0.204 
1 4 2 	1.3333333333333333 4.333333333333333 0.816 
1 4 3 	1.6666666666666665 4.666666666666667 1.02 
1 4 4 	1.6666666666666665 4.666666666666667 1.632 
1 4 5 	1 4 1.8359999999999999 
1 4 6 	1 4 2.448 
1 4 7 	1.3333333333333333 4.333333333333333 2.652 
1 4 8 	1.3333333333333333 4.333333333333333 3.264 
1 4 9 	1.6666666666666665 4.666666666666667 3.468 
1 4 10 	1.6666666666666665 4.666666666666667 4.08 
1 4 11 	1 4 4.284 
1 4 12 	1 4 4.896 
1 4 13 	1.3333333333333333 4.333333333333333 5.1 
1 4 14 	1.3333333333333333 4.333333333333333 5.712 
1 4 15 	1.6666666666666665 4.666666666666667 5.916 
1 4 16 	1.6666666666666665 4.666666666666667 6.528 
1 4 17 	1 4 6.731999999999999 
1 4 18 	1 4 7.343999999999999 
1 4 19 	1.3333333333333333 4.333333333333333 7.547999999999999 
1 4 20 	1.3333333333333333 4.333333333333333 8.16 
1 4 21 	1.6666666666666665 4.666666666666667 8.363999999999999 
1 4 22 	1.6666666666666665 4.666666666666667 8.975999999999999 
1 4 23 	1 4 9.18 
1 4 24 	1 4 9.792 
1 4 25 	1.3333333333333333 4.333333333333333 9.996 
1 4 26 	1.3333333333333333 4.333333333333333 10.608 
1 4 27 	1.6666666666666665 4.666666666666667 10.812 
1 4 28 	1.6666666666666665 4.666666666666667 11.424 
1 4 29 	1 4 11.628 
2 0 0 	2 0 0.0 
2 0 1 	2.3333333333333335 0.3333333333333333 0.204 
2 0 2 	2.3333333333333335 0.3333333333333333 0.816 
2 0 3 	2.6666666666666665 0.6666666666666666 1.02 
2 0 4 	2.6666666666666665 0.6666666666666666 1.632 
2 0 5 	2 0 1.8359999999999999 
2 0 6 	2 0 2.448 
2 0 7 	2.3333333333333335 0.3333333333333333 2.652 
2 0 8 	2.3333333333333335 0.3333333333333333 3.264 
2 0 9 	2.6666666666666665 0.6666666666666666 3.468 
2 0 10 	2.6666666666666665 0.6666666666666666 4.08 
2 0 11 	2 0 4.284 
2 0 12 	2 0 4.896 
2 0 13 	2.3333333333333335 0.3333333333333333 5.1 
2 0 14 	2.3333333333333335 0.3333333333333333 5.712 
2 0 15 	2.6666666666666665 0.6666666666666666 5.916 
2 0 16 	2.6666666666666665 0.6666666666666666 6.528 
2 0 17 	2 0 6.731999999999999 
2 0 18 	2 0 7.343999999999999 
2 0 19 	2.3333333333333335 0.3333333333333333 7.547999999999999 
2 0 20 	2.3333333333333335 0.3333333333333333 8.16 
2 0 21 	2.6666666666666665 0.6666666666666666 8.363999999999999 
2 0 22 	2.6666666666666665 0.6666666666666666 8.975999999999999 
2 0 23 	2 0 9.18 
2 0 24 	2 0 9.792 
2 0 25 	2.3333333333333335 0.3333333333333333 9.996 
2 0 26 	2.3333333333333335 0.3333333333333333 10.608 
2 0 27 	2.6666666666666665 0.6666666666666666 10.812 
2 0 28 	2.6666666666666665 0.6666666666666666 11.424 
2 0 29 	2 0 11.628 
2 1 0 	2 1 0.0 
2 1 1 	2.3333333333333335 1.3333333333333333 0.204 
2 1 2 	2.3333333333333335 1.3333333333333333 0.816 
2 1 3 	2.6666666666666665 1.6666666666666665 1.02 
2 1 4 	2.6666666666666665 1.6666666666666665 1.632 
2 1 5 	2 1 1.8359999999999999 
2 1 6 	2 1 2.448 
2 1 7 	2.3333333333333335 1.3333333333333333 2.652 
2 1 8 	2.3333333333333335 1.3333333333333333 3.264 
2 1 9 	2.6666666666666665 1.6666666666666665 3.468 
2 1 10 	2.6666666666666665 1.6666666666666665 4.08 
2 1 11 	2 1 4.284 
2 1 12 	2 1 4.896 
2 1 13 	2.3333333333333335 1.3333333333333333 5.1 
2 1 14 	2.3333333333333335 1.3333333333333333 5.712 
2 1 15 	2.6666666666666665 1.6666666666666665 5.916 
2 1 16 	2.6666666666666665 1.6666666666666665 6.528 
2 1 17 	2 1 6.731999999999999 
2 1 18 	2 1 7.343999999999999 
2 1 19 	2.3333333333333335 1.3333333333333333 7.547999999999999 
2 1 20 	2.3333333333333335 1.3333333333333333 8.16 
2 1 21 	2.6666666666666665 1.6666666666666665 8.363999999999999 
2 1 22 	2.6666666666666665 1.6666666666666665 8.975999999999999 
2 1 23 	2 1 9.18 
2 1 24 	2 1 9.792 
2 1 25 	2.3333333333333335 1.3333333333333333 9.996 
2 1 26 	2.3333333333333335 1.3333333333333333 10.608 
2 1 27 	2.6666666666666665 1.6666666666666665 10.812 
2 1 28 	2.6666666666666665 1.6666666666666665 11.424 
2 1 29 	2 1 11.628 
2 2 0 	2 2 0.0 
2 2 1 	2.3333333333333335 2.3333333333333335 0.204 
2 2 2 	2.3333333333333335 2.3333333333333335 0.816 
2 2 3 	2.6666666666666665 2.6666666666666665 1.02 
2 2 4 	2.6666666666666665 2.6666666666666665 1.632 
2 2 5 	2 2 1.8359999999999999 
2 2 6 	2 2 2.448 
2 2 7 	2.3333333333333335 2.3333333333333335 2.652 
2 2 8 	2.3333333333333335 2.3333333333333335 3.264 
2 2 9 	2.6666666666666665 2.6666666666666665 3.468 
2 2 10 	2.6666666666666665 2.6666666666666665 4.08 
2 2 11 	2 2 4.284 
2 2 12 	2 2 4.896 
2 2 13 	2.3333333333333335 2.3333333333333335 5.1 
2 2 14 	2.3333333333333335 2.3333333333333335 5.712 
2 2 15 	2.6666666666666665 2.6666666666666665 5.916 
2 2 16 	2.6666666666666665 2.6666666666666665 6.528 
2 2 17 	2 2 6.731999999999999 
2 2 18 	2 2 7.343999999999999 
2 2 19 	2.3333333333333335 2.3333333333333335 7.547999999999999 
2 2 20 	2.3333333333333335 2.3333333333333335 8.16 
2 2 21 	2.6666666666666665 2.6666666666666665 8.363999999999999 
2 2 22 	2.6666666666666665 2.6666666666666665 8.975999999999999 
2 2 23 	2 2 9.18 
2 2 24 	2 2 9.792 
2 2 25 	2.3333333333333335 2.3333333333333335 9.996 
2 2 26 	2.3333333333333335 2.3333333333333335 10.608 
2 2 27 	2.6666666666666665 2.6666666666666665 10.812 
2 2 28 	2.6666666666666665 2.6666666666666665 11.424 
2 2 29 	2 2 11.628 
2 3 0 	2 3 0.0 
2 3 1 	2.3333333333333335 3.3333333333333335 0.204 
2 3 2 	2.3333333333333335 3.3333333333333335 0.816 
2 3 3 	2.6666666666666665 3.6666666666666665 1.02 
2 3 4 	2.6666666666666665 3.6666666666666665 1.632 
2 3 5 	2 3 1.8359999999999999 
2 3 6 	2 3 2.448 
2 3 7 	2.3333333333333335 3.3333333333333335 2.652 
2 3 8 	2.3333333333333335 3.3333333333333335 3.264 
2 3 9 	2.6666666666666665 3.6666666666666665 3.468 
2 3 10 	2.6666666666666665 3.6666666666666665 4.08 
2 3 11 	2 3 4.284 
2 3 12 	2 3 4.896 
2 3 13 	2.3333333333333335 3.3333333333333335 5.1 
2 3 14 	2.3333333333333335 3.3333333333333335 5.712 
2 3 15 	2.6666666666666665 3.6666666666666665 5.916 
2 3 16 	2.6666666666666665 3.6666666666666665 6.528 
2 3 17 	2 3 6.731999999999999 
2 3 18 	2 3 7.343999999999999 
2 3 19 	2.3333333333333335 3.3333333333333335 7.547999999999999 
2 3 20 	2.3333333333333335 3.3333333333333335 8.16 
2 3 21 	2.6666666666666665 3.6666666666666665 8.363999999999999 
2 3 22 	2.6666666666666665 3.6666666666666665 8.975999999999999 
2 3 23 	2 3 9.18 
2 3 24 	2 3 9.792 
2 3 25 	2.3333333333333335 3.3333333333333335 9.996 
2 3 26 	2.3333333333333335 3.3333333333333335 10.608 
2 3 27 	2.6666666666666665 3.6666666666666665 10.812 
2 3 28 	2.6666666666666665 3.6666666666666665 11.424 
2 3 29 	2 3 11.628 
2 4 0 	2 4 0.0 
2 4 1 	2.3333333333333335 4.333333333333333 0.204 
2 4 2 	2.3333333333333335 4.333333333333333 0.816 
2 4 3 	2.6666666666666665 4.666666666666667 1.02 
2 4 4 	2.6666666666666665 4.666666666666667 1.632 
2 4 5 	2 4 1.8359999999999999 
2 4 6 	2 4 2.448 
2 4 7 	2.3333333333333335 4.333333333333333 2.652 
2 4 8 	2.3333333333333335 4.333333333333333 3.264 
2 4 9 	2.6666666666666665 4.666666666666667 3.468 
2 4 10 	2.6666666666666665 4.666666666666667 4.08 
2 4 11 	2 4 4.284 
2 4 12 	2 4 4.896 
2 4 13 	2.3333333333333335 4.333333333333333 5.1 
2 4 14 	2.3333333333333335 4.333333333333333 5.712 
2 4 15 	2.6666666666666665 4.666666666666667 5.916 
2 4 16 	2.6666666666666665 4.666666666666667 6.528 
2 4 17 	2 4 6.731999999999999 
2 4 18 	2 4 7.343999999999999 
2 4 19 	2.3333333333333335 4.333333333333333 7.547999999999999 
2 4 20 	2.3333333333333335 4.333333333333333 8.16 
2 4 21 	2.6666666666666665 4.666666666666667 8.363999999999999 
2 4 22 	2.6666666666666665 4.666666666666667 8.975999999999999 
2 4 23 	2 4 9.18 
2 4 24 	2 4 9.792 
2 4 25 	2.3333333333333335 4.333333333333333 9.996 
2 4 26 	2.3333333333333335 4.333333333333333 10.608 
2 4 27 	2.6666666666666665 4.666666666666667 10.812 
2 4 28 	2.6666666666666665 4.666666666666667 11.424 
2 4 29 	2 4 11.628 
3 0 0 	3 0 0.0 
3 0 1 	3.3333333333333335 0.3333333333333333 0.204 
3 0 2 	3.3333333333333335 0.3333333333333333 0.816 
3 0 3 	3.6666666666666665 0.6666666666666666 1.02 
3 0 4 	3.6666666666666665 0.6666666666666666 1.632 
3 0 5 	3 0 1.8359999999999999 
3 0 6 	3 0 2.448 
3 0 7 	3.3333333333333335 0.3333333333333333 2.652 
3 0 8 	3.3333333333333335 0.3333333333333333 3.264 
3 0 9 	3.6666666666666665 0.6666666666666666 3.468 
3 0 10 	3.6666666666666665 0.6666666666666666 4.08 
3 0 11 	3 0 4.284 
3 0 12 	3 0 4.896 
3 0 13 	3.3333333333333335 0.3333333333333333 5.1 
3 0 14 	3.3333333333333335 0.3333333333333333 5.712 
3 0 15 	3.6666666666666665 0.6666666666666666 5.916 
3 0 16 	3.6666666666666665 0.6666666666666666 6.528 
3 0 17 	3 0 6.731999999999999 
3 0 18 	3 0 7.343999999999999 
3 0 19 	3.3333333333333335 0.3333333333333333 7.547999999999999 
3 0 20 	3.3333333333333335 0.3333333333333333 8.16 
3 0 21 	3.6666666666666665 0.6666666666666666 8.363999999999999 
3 0 22 	3.6666666666666665 0.6666666666666666 8.975999999999999 
3 0 23 	3 0 9.18 
3 0 24 	3 0 9.792 
3 0 25 	3.3333333333333335 0.3333333333333333 9.996 
3 0 26 	3.3333333333333335 0.3333333333333333 10.608 
3 0 27 	3.6666666666666665 0.6666666666666666 10.812 
3 0 28 	3.6666666666666665 0.6666666666666666 11.424 
3 0 29 	3 0 11.628 
3 1 0 	3 1 0.0 
3 1 1 	3.3333333333333335 1.3333333333333333 0.204 
3 1 2 	3.3333333333333335 1.3333333333333333 0.816 
3 1 3 	3.6666666666666665 1.6666666666666665 1.02 
3 1 4 	3.6666666666666665 1.6666666666666665 1.632 
3 1 5 	3 1 1.8359999999999999 
3 1 6 	3 1 2.448 
3 1 7 	3.3333333333333335 1.3333333333333333 2.652 
3 1 8 	3.3333333333333335 1.3333333333333333 3.264 
3 1 9 	3.6666666666666665 1.6666666666666665 3.468 
3 1 10 	3.6666666666666665 1.6666666666666665 4.08 
3 1 11 	3 1 4.284 
3 1 12 	3 1 4.896 
3 1 13 	3.3333333333333335 1.3333333333333333 5.1 
3 1 14 	3.3333333333333335 1.3333333333333333 5.712 
3 1 15 	3.6666666666666665 1.6666666666666665 5.916 
3 1 16 	3.6666666666666665 1.6666666666666665 6.528 
3 1 17 	3 1 6.731999999999999 
3 1 18 	3 1 7.343999999999999 
3 1 19 	3.3333333333333335 1.3333333333333333 7.547999999999999 
3 1 20 	3.3333333333333335 1.3333333333333333 8.16 
3 1 21 	3.6666666666666665 1.6666666666666665 8.363999999999999 
3 1 22 	3.6666666666666665 1.6666666666666665 8.975999999999999 
3 1 23 	3 1 9.18 
3 1 24 	3 1 9.792 
3 1 25 	3.3333333333333335 1.3333333333333333 9.996 
3 1 26 	3.3333333333333335 1.3333333333333333 10.608 
3 1 27 	3.6666666666666665 1.6666666666666665 10.812 
3 1 28 	3.6666666666666665 1.6666666666666665 11.424 
3 1 29 	3 1 11.628 
3 2 0 	3 2 0.0 
3 2 1 	3.3333333333333335 2.3333333333333335 0.204 
3 2 2 	3.3333333333333335 2.3333333333333335 0.816 
3 2 3 	3.6666666666666665 2.6666666666666665 1.02 
3 2 4 	3.6666666666666665 2.6666666666666665 1.632 
3 2 5 	3 2 1.8359999999999999 
3 2 6 	3 2 2.448 
3 2 7 	3.3333333333333335 2.3333333333333335 2.652 
3 2 8 	3.3333333333333335 2.3333333333333335 3.264 
3 2 9 	3.6666666666666665 2.6666666666666665 3.468 
3 2 10 	3.6666666666666665 2.6666666666666665 4.08 
3 2 11 	3 2 4.284 
3 2 12 	3 2 4.896 
3 2 13 	3.3333333333333335 2.3333333333333335 5.1 
3 2 14 	3.3333333333333335 2.3333333333333335 5.712 
3 2 15 	3.6666666666666665 2.6666666666666665 5.916 
3 2 16 	3.6666666666666665 2.6666666666666665 6.528 
3 2 17 	3 2 6.731999999999999 
3 2 18 	3 2 7.343999999999999 
3 2 19 	3.3333333333333335 2.3333333333333335 7.547999999999999 
3 2 20 	3.3333333333333335 2.3333333333333335 8.16 
3 2 21 	3.6666666666666665 2.6666666666666665 8.363999999999999 
3 2 22 	3.6666666666666665 2.6666666666666665 8.975999999999999 
3 2 23 	3 2 9.18 
3 2 24 	3 2 9.792 
3 2 25 	3.3333333333333335 2.3333333333333335 9.996 
